new_business,account_management,support,total_customers,monthly_revenue
6,6,8,1074.0,222189.76
6,6,8,1150.0,351979.52
6,6,8,1227.0,489469.28
6,6,8,1306.0,634859.04
6,6,8,1387.0,788348.8
6,6,8,1469.0,950038.56
6,6,8,1553.0,1120128.32
6,6,8,1639.0,1298818.08
6,6,8,1726.0,1486207.84
6,6,8,1815.0,1682497.6
6,6,8,1906.0,1887887.36
6,6,8,1999.0,2102577.12
6,6,8,2093.0,2326666.88
6,6,8,2189.0,2560356.6399999997
6,6,8,2287.0,2803846.3999999994
6,6,8,2387.0,3057336.159999999
6,6,8,2489.0,3321025.919999999
6,6,8,2593.0,3595115.679999999
6,6,8,2699.0,3879805.4399999985
6,6,8,2807.0,4175295.1999999983
6,6,8,2918.0,4481884.959999998
6,6,8,3031.0,4799774.719999998
6,6,8,3146.0,5129164.479999998
6,6,8,3263.0,5470254.239999997
